"","Label","Januari","Februari","Maret","April","Mei","kmeans_clustering.cluster"
"1","PULAU PANGGANG",7,1,5,3,0,2
"2","PULAU KELAPA",0,1,1,4,1,2
"3","PULAU HARAPAN",0,0,1,4,1,2
"4","PULAU UNTUNG JAWA",1,2,2,0,4,2
"5","PULAU TIDUNG",3,0,0,0,0,2
"6","PULAU PARI",4,0,1,3,0,2
"7","GAMBIR",2,0,4,5,1,2
"8","CIDENG",3,6,8,11,3,2
"9","PETOJO UTARA",12,13,8,7,6,2
"10","PETOJO SELATAN",7,8,17,16,3,2
"11","KEBON KELAPA",4,2,1,6,2,2
"12","DURI PULO",8,4,6,6,2,2
"13","PASAR BARU",3,1,7,3,0,2
"14","KARANG ANYAR",9,5,9,3,3,2
"15","KARTINI",6,4,5,6,3,2
"16","GUNUNG SAHARI UTARA",1,4,10,10,2,2
"17","MANGGA DUA SELATAN",9,14,17,18,9,2
"18","KEMAYORAN",14,12,15,8,5,2
"19","KEBON KOSONG",29,14,22,26,13,1
"20","HARAPAN MULIA",16,1,13,14,2,2
"21","SERDANG",13,9,12,13,7,2
"22","GUNUNG SAHARI SELATAN",4,6,14,7,5,2
"23","CEMPAKA BARU",12,23,25,13,13,1
"24","SUMUR BATU",9,15,16,6,4,2
"25","UTAN PANJANG",12,7,11,19,6,2
"26","SENEN",1,5,6,7,3,2
"27","KENARI",6,2,3,13,4,2
"28","PASEBAN",7,12,15,16,9,2
"29","KRAMAT",15,19,19,21,19,1
"30","KWITANG",5,7,2,15,4,2
"31","BUNGUR",15,11,10,14,7,2
"32","CEMPAKA PUTIH TIMUR",15,8,10,11,7,2
"33","CEMPAKA PUTIH BARAT",11,17,22,13,8,2
"34","RAWASARI",23,27,30,15,10,1
"35","MENTENG",12,13,13,11,5,2
"36","PEGANGSAAN",10,8,13,13,7,2
"37","CIKINI",6,2,5,6,3,2
"38","GONDANGDIA",1,1,3,3,0,2
"39","KEBON SIRIH",5,5,4,10,7,2
"40","GELORA",1,0,4,1,0,2
"41","BENDUNGAN HILIR",9,12,13,11,6,2
"42","KARET TENGSIN",16,14,23,11,9,2
"43","PETAMBURAN",22,27,30,21,15,1
"44","KEBON MELATI",27,22,18,21,7,1
"45","KEBON KACANG",11,6,20,12,8,2
"46","KAMPUNG BALI",3,6,7,4,1,2
"47","JOHAR BARU",17,19,19,27,8,1
"48","KAMPUNG RAWA",9,7,6,9,8,2
"49","GALUR",3,10,4,2,2,2
"50","TANAH TINGGI",13,13,14,10,5,2
"51","PENJARINGAN",54,55,60,64,32,3
"52","KAMAL MUARA",13,6,15,22,7,2
"53","KAPUK MUARA",14,22,24,37,14,1
"54","PEJAGALAN",26,38,37,34,27,1
"55","PLUIT",23,23,46,28,22,1
"56","TANJUNG PRIOK",23,23,30,24,14,1
"57","SUNTER JAYA",36,29,36,44,25,1
"58","PAPANGGO",12,14,28,18,17,1
"59","SUNGAI BAMBU",12,19,18,22,5,2
"60","KEBON BAWANG",23,28,27,37,10,1
"61","SUNTER AGUNG",26,32,50,31,11,1
"62","WARAKAS",44,25,22,18,15,1
"63","KOJA",14,12,19,14,9,2
"64","TUGU UTARA",21,42,44,35,28,1
"65","LAGOA",13,38,31,28,11,1
"66","RAWA BADAK UTARA",4,23,20,11,10,2
"67","TUGU SELATAN",30,29,33,36,26,1
"68","RAWA BADAK SELATAN",18,25,14,25,18,1
"69","CILINCING",26,27,29,36,14,1
"70","SUKAPURA",33,33,58,43,38,3
"71","MARUNDA",20,20,23,19,15,1
"72","KALIBARU",28,55,53,40,21,3
"73","SEMPER TIMUR",26,33,28,24,18,1
"74","ROROTAN",28,39,44,35,23,1
"75","SEMPER BARAT",31,42,43,33,13,1
"76","PADEMANGAN TIMUR",23,6,19,33,13,1
"77","PADEMANGAN BARAT",37,30,37,28,28,1
"78","ANCOL",16,6,14,24,13,2
"79","KELAPA GADING TIMUR",5,13,16,4,10,2
"80","PEGANGSAAN DUA",22,37,34,28,21,1
"81","KELAPA GADING BARAT",22,19,31,26,23,1
"82","CENGKARENG BARAT",32,28,31,28,22,1
"83","DURI KOSAMBI",63,46,92,70,39,3
"84","RAWA BUAYA",29,54,49,42,33,3
"85","KEDAUNG KALI ANGKE",15,24,13,33,13,1
"86","KAPUK",88,86,83,71,67,3
"87","CENGKARENG TIMUR",50,53,58,66,32,3
"88","GROGOL",1,9,15,8,7,2
"89","TANJUNG DUREN UTARA",4,3,10,5,4,2
"90","TOMANG",11,10,7,14,10,2
"91","JELAMBAR",11,8,13,11,8,2
"92","TANJUNG DUREN SELATAN",17,9,31,24,15,1
"93","JELAMBAR BARU",15,15,21,23,11,1
"94","WIJAYA KUSUMA",24,16,28,20,8,1
"95","TAMAN SARI",3,2,7,5,10,2
"96","KRUKUT",5,2,11,11,11,2
"97","MAPHAR",1,3,10,10,4,2
"98","TANGKI",4,5,4,1,1,2
"99","MANGGA BESAR",2,2,5,1,1,2
"100","KEAGUNGAN",8,11,15,12,3,2
"101","GLODOK",2,0,4,3,0,2
"102","PINANGSIA",3,6,5,3,6,2
"103","TAMBORA",0,0,2,6,1,2
"104","KALI ANYAR",5,15,13,11,7,2
"105","DURI UTARA",8,7,9,7,2,2
"106","TANAH SEREAL",14,6,14,11,4,2
"107","KRENDANG",9,10,9,7,2,2
"108","JEMBATAN BESI",8,14,22,18,12,2
"109","ANGKE",11,19,12,17,6,2
"110","JEMBATAN LIMA",10,16,16,12,10,2
"111","PEKOJAN",5,7,9,5,8,2
"112","ROA MALAKA",2,0,3,1,1,2
"113","DURI SELATAN",5,5,5,7,2,2
"114","KEBON JERUK",31,27,38,27,20,1
"115","SUKABUMI UTARA",10,14,19,20,25,1
"116","SUKABUMI SELATAN",20,24,18,16,12,1
"117","KELAPA DUA",20,18,14,13,12,2
"118","DURI KEPA",23,33,37,30,27,1
"119","KEDOYA UTARA",18,20,24,28,16,1
"120","KEDOYA SELATAN",5,16,22,18,8,2
"121","KALIDERES",23,42,68,61,25,3
"122","SEMANAN",33,53,64,54,23,3
"123","TEGAL ALUR",30,52,66,60,40,3
"124","KAMAL",23,46,45,39,18,1
"125","PEGADUNGAN",34,36,61,55,24,3
"126","PALMERAH",32,31,41,24,22,1
"127","SLIPI",13,10,15,7,6,2
"128","KOTA BAMBU UTARA",6,14,11,19,10,2
"129","JATIPULO",4,12,10,10,8,2
"130","KEMANGGISAN",14,19,22,10,15,2
"131","KOTA BAMBU SELATAN",5,10,9,9,15,2
"132","KEMBANGAN UTARA",25,38,26,33,10,1
"133","MERUYA UTARA",42,15,42,23,17,1
"134","MERUYA SELATAN",16,17,27,19,13,1
"135","SRENGSENG",19,33,30,29,12,1
"136","JOGLO",10,21,23,42,12,1
"137","KEMBANGAN SELATAN",2,18,3,20,6,2
"138","TEBET TIMUR",5,7,12,15,11,2
"139","TEBET BARAT",10,11,17,13,9,2
"140","MENTENG DALAM",24,9,13,13,5,2
"141","KEBON BARU",16,7,9,8,4,2
"142","BUKIT DURI",14,21,24,17,12,1
"143","MANGGARAI SELATAN",12,18,11,9,7,2
"144","MANGGARAI",5,17,19,17,6,2
"145","SETIA BUDI",0,0,0,10,1,2
"146","KARET SEMANGGI",2,1,3,1,0,2
"147","KARET KUNINGAN",10,14,6,5,8,2
"148","KARET",3,10,8,8,1,2
"149","MENTENG ATAS",11,5,32,20,7,2
"150","PASAR MANGGIS",24,16,18,18,3,2
"151","GUNTUR",4,1,1,5,1,2
"152","KUNINGAN TIMUR",3,2,3,4,4,2
"153","MAMPANG PRAPATAN",14,3,7,8,6,2
"154","BANGKA",11,6,12,9,5,2
"155","PELA MAMPANG",13,11,24,21,16,1
"156","TEGAL PARANG",15,19,15,12,18,2
"157","KUNINGAN BARAT",0,6,2,6,4,2
"158","PASAR MINGGU",11,11,11,22,13,2
"159","JATI PADANG",19,11,19,18,16,2
"160","CILANDAK TIMUR",37,22,37,45,6,1
"161","RAGUNAN",23,18,32,35,12,1
"162","PEJATEN TIMUR",34,37,44,45,23,1
"163","PEJATEN BARAT",15,26,22,26,11,1
"164","KEBAGUSAN",25,11,22,30,9,1
"165","KEBAYORAN LAMA UTARA",20,23,31,31,7,1
"166","PONDOK PINANG",18,30,27,39,22,1
"167","CIPULIR",10,27,17,26,14,1
"168","GROGOL UTARA",10,17,17,20,11,2
"169","GROGOL SELATAN",20,24,22,14,18,1
"170","KEBAYORAN LAMA SELATAN",18,17,30,24,21,1
"171","CILANDAK BARAT",26,27,32,29,19,1
"172","LEBAK BULUS",26,13,29,22,20,1
"173","PONDOK LABU",11,33,24,30,16,1
"174","GANDARIA SELATAN",3,7,11,7,3,2
"175","CIPETE SELATAN",8,5,10,7,16,2
"176","MELAWAI",2,0,1,3,0,2
"177","GUNUNG",2,8,9,9,4,2
"178","KRAMAT PELA",5,3,10,6,7,2
"179","SELONG",0,0,1,1,1,2
"180","RAWA BARAT",2,1,2,1,1,2
"181","SENAYAN",3,4,4,2,1,2
"182","PULO",4,0,2,8,4,2
"183","PETOGOGAN",11,7,8,4,1,2
"184","GANDARIA UTARA",14,24,18,22,16,1
"185","CIPETE UTARA",16,5,15,19,15,2
"186","PANCORAN",17,8,14,1,16,2
"187","KALIBATA",23,22,27,31,14,1
"188","RAWAJATI",17,22,28,22,18,1
"189","DUREN TIGA",20,6,13,15,9,2
"190","PENGADEGAN",21,14,11,15,4,2
"191","CIKOKO",6,3,2,8,2,2
"192","JAGAKARSA",25,32,58,43,28,3
"193","SRENGSENG SAWAH",38,32,41,41,26,1
"194","CIGANJUR",35,35,31,28,19,1
"195","LENTENG AGUNG",28,17,41,24,9,1
"196","TANJUNG BARAT",23,26,25,15,20,1
"197","CIPEDAK",20,23,27,24,20,1
"198","PESANGGRAHAN",12,19,33,11,8,1
"199","BINTARO",37,21,36,31,17,1
"200","PETUKANGAN UTARA",34,25,48,27,34,1
"201","PETUKANGAN SELATAN",31,24,23,37,17,1
"202","ULUJAMI",22,19,38,28,22,1
"203","PISANGAN BARU",15,20,8,10,11,2
"204","UTAN KAYU UTARA",10,22,14,18,9,2
"205","KAYU MANIS",5,12,18,8,3,2
"206","PALMERIAM",4,15,14,11,19,2
"207","KEBON MANGGIS",12,9,11,14,10,2
"208","UTAN KAYU SELATAN",14,15,16,9,8,2
"209","PULO GADUNG",24,38,26,22,16,1
"210","PISANGAN TIMUR",16,15,32,18,25,1
"211","CIPINANG",21,23,31,9,8,1
"212","JATINEGARA KAUM",19,10,16,12,8,2
"213","RAWAMANGUN",23,19,39,16,7,1
"214","KAYU PUTIH",28,41,39,24,14,1
"215","JATI",9,18,21,13,5,2
"216","KAMPUNG MELAYU",10,9,20,9,11,2
"217","BIDARA CINA",15,12,13,27,5,2
"218","BALI MESTER",4,9,5,3,6,2
"219","RAWA BUNGA",8,14,16,4,8,2
"220","CIPINANG CEMPEDAK",8,21,14,9,1,2
"221","CIPINANG MUARA",22,28,36,27,21,1
"222","CIPINANG BESAR SELATAN",25,16,27,27,11,1
"223","CIPINANG BESAR UTARA",24,17,17,31,19,1
"224","KRAMATJATI",18,27,26,34,11,1
"225","TENGAH",27,34,31,24,9,1
"226","DUKUH",11,48,15,13,12,1
"227","BATU AMPAR",38,28,53,21,15,1
"228","BALEKAMBANG",19,12,25,30,8,1
"229","CILILITAN",37,22,27,31,20,1
"230","CAWANG",21,27,35,23,14,1
"231","GEDONG",22,22,28,31,22,1
"232","BARU",31,25,40,20,36,1
"233","CIJANTUNG",29,23,43,37,18,1
"234","KALISARI",32,29,31,28,23,1
"235","PEKAYON",30,45,31,53,23,1
"236","JATINEGARA",38,54,62,39,31,3
"237","RAWA TERATE",21,10,20,22,13,1
"238","PENGGILINGAN",60,74,104,70,49,3
"239","CAKUNG TIMUR",55,50,43,65,35,3
"240","PULO GEBANG",67,99,110,73,52,3
"241","UJUNG MENTENG",17,28,26,25,20,1
"242","CAKUNG BARAT",58,37,50,49,24,3
"243","DUREN SAWIT",27,30,35,25,12,1
"244","PONDOK BAMBU",21,27,41,26,19,1
"245","KLENDER",40,47,48,50,29,3
"246","PONDOK KELAPA",44,52,53,62,39,3
"247","MALAKA SARI",8,19,12,17,11,2
"248","MALAKA JAYA",15,14,20,16,10,2
"249","PONDOK KOPI",20,19,28,26,17,1
"250","MAKASAR",21,27,24,21,12,1
"251","PINANGRANTI",20,19,26,34,23,1
"252","KEBON PALA",32,31,40,35,15,1
"253","HALIM PERDANA KUSUMAH",26,18,24,32,46,1
"254","CIPINANG MELAYU",24,27,27,29,20,1
"255","CIRACAS",49,34,37,55,41,3
"256","CIBUBUR",38,43,26,36,22,1
"257","KELAPA DUA WETAN",25,36,49,39,19,1
"258","SUSUKAN",26,26,10,20,14,1
"259","RAMBUTAN",21,18,24,34,8,1
"260","CIPAYUNG",19,9,23,16,14,2
"261","CILANGKAP",26,16,16,23,16,1
"262","PONDOK RANGGON",19,16,21,30,6,1
"263","MUNJUL",13,9,27,15,6,2
"264","SETU",12,16,34,20,5,1
"265","BAMBU APUS",13,17,25,17,18,1
"266","LUBANG BUAYA",29,30,45,47,23,1
"267","CEGER",8,9,18,9,5,2
